Race,Name,Value,Display Name
mayor,Drew DILKENS,31201,MAYOR
mayor,Franz (Frank) DYCK,785,MAYOR
mayor,Tom HENSEL,797,MAYOR
mayor,Ernie LAMONT,1121,MAYOR
mayor,Matt MARCHAND,18626,MAYOR
ward1,Matt (Matthew) FORD,428,COUNCILLOR WARD 1
ward1,Fred FRANCIS,3507,COUNCILLOR WARD 1
ward1,Krysta GLOVASKY-RIDSDALE,248,COUNCILLOR WARD 1
ward1,Wiquar HUSAIN,277,COUNCILLOR WARD 1
ward1,Darcie RENAUD,2167,COUNCILLOR WARD 1
ward2,Fabio COSTANTE,2139,COUNCILLOR WARD 2
ward2,John ELLIOTT,1623,COUNCILLOR WARD 2
ward3,Rino BORTOLIN,2710,COUNCILLOR WARD 3
ward3,Helmi CHARIF,690,COUNCILLOR WARD 3
ward3,Steve PALENKAS,352,COUNCILLOR WARD 3
ward4,Janice CAMPBELL,1138,COUNCILLOR WARD 4
ward4,Chris HOLT,4407,COUNCILLOR WARD 4
ward5,Adam CASTLE,391,COUNCILLOR WARD 5
ward5,Lillian B. KRUZSELY,165,COUNCILLOR WARD 5
ward5,Joe LUCIER,108,COUNCILLOR WARD 5
ward5,Ed SLEIMAN,2294,COUNCILLOR WARD 5
ward5,Martin A. UTROSA,52,COUNCILLOR WARD 5
ward5,Joey WRIGHT,1341,COUNCILLOR WARD 5
ward6,Jeff DENOMME,2682,COUNCILLOR WARD 6
ward6,Jo-Anne GIGNAC,3709,COUNCILLOR WARD 6
ward6,Josh JACQUOT,86,COUNCILLOR WARD 6
ward6,Terry YALDO,902,COUNCILLOR WARD 6
ward7,Barbara HOLLAND,658,COUNCILLOR WARD 7
ward7,Irek KUSMIERCZYK,4745,COUNCILLOR WARD 7
ward7,Angelo MARIGNANI,982,COUNCILLOR WARD 7
ward7,Albert SABA,408,COUNCILLOR WARD 7
ward8,Giovanni (John) ABATI,255,COUNCILLOR WARD 8
ward8,Gemma GREY-HALL,628,COUNCILLOR WARD 8
ward8,Patti HAYES,296,COUNCILLOR WARD 8
ward8,Gary KASCHAK,932,COUNCILLOR WARD 8
ward8,Greg LEMAY,574,COUNCILLOR WARD 8
ward8,Kathryn MacDONELL,139,COUNCILLOR WARD 8
ward8,David SUNDIN,832,COUNCILLOR WARD 8
ward8,Lisa VALENTE,231,COUNCILLOR WARD 8
ward9,Alex AGGARWAL,803,COUNCILLOR WARD 9
ward9,Kieran McKENZIE,3178,COUNCILLOR WARD 9
ward9,Hilary PAYNE,985,COUNCILLOR WARD 9
ward10,Olivia ASHAK,209,COUNCILLOR WARD 10
ward10,Paul BORRELLI,1249,COUNCILLOR WARD 10
ward10,Wally CHAFCHAK,94,COUNCILLOR WARD 10
